Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
296.760000	295.710000	0.005223	0.000059	0.510123	86.710000	30230
296.770000	295.720000	0.005223	0.000059	0.510123	86.710000	30230
296.750000	295.690000	0.005222	0.000059	0.510123	86.710000	30230
296.730000	295.680000	0.005222	0.000060	0.510123	86.710000	30230
296.720000	295.680000	0.005222	0.000060	0.510123	86.710000	30230
296.730000	295.650000	0.005223	0.000060	0.510123	86.710000	30230
296.710000	295.640000	0.005223	0.000059	0.510123	86.710000	30230
296.710000	295.640000	0.005223	0.000059	0.510123	86.710000	30230
296.700000	295.620000	0.005223	0.000059	0.510123	86.710000	30230
296.690000	295.610000	0.005223	0.000058	0.510123	86.710000	30230
296.690000	295.610000	0.005223	0.000058	0.510123	86.710000	30230
296.690000	295.600000	0.005223	0.000058	0.510123	86.710000	30230
296.680000	295.590000	0.005223	0.000058	0.510123	86.710000	30230
296.680000	295.570000	0.005223	0.000058	0.510123	86.710000	30230
296.670000	295.570000	0.005223	0.000058	0.510123	86.710000	30230
296.670000	295.550000	0.005222	0.000059	0.510123	86.710000	30230
296.670000	295.530000	0.005222	0.000059	0.510123	86.710000	30230
296.650000	295.530000	0.005222	0.000058	0.510123	86.710000	30230
296.650000	295.520000	0.005222	0.000058	0.510123	86.710000	30230
296.640000	295.520000	0.005223	0.000058	0.510123	86.710000	30230
296.650000	295.500000	0.005223	0.000059	0.510123	86.710000	30230
296.630000	295.490000	0.005224	0.000060	0.510123	86.710000	30230
296.620000	295.470000	0.005224	0.000060	0.510123	86.710000	30230
296.610000	295.470000	0.005224	0.000060	0.510123	86.710000	30230
296.610000	295.450000	0.005224	0.000060	0.510123	86.710000	30230
296.620000	295.440000	0.005225	0.000061	0.510123	86.710000	30230
296.600000	295.430000	0.005225	0.000061	0.510123	86.710000	30230
296.600000	295.420000	0.005225	0.000061	0.510123	86.710000	30230
296.570000	295.420000	0.005225	0.000061	0.510123	86.710000	30230
296.580000	295.390000	0.005225	0.000061	0.510123	86.710000	30230
296.570000	295.390000	0.005224	0.000060	0.510123	86.710000	30230
296.560000	295.390000	0.005224	0.000060	0.510123	86.710000	30230
296.550000	295.280000	0.005224	0.000060	0.510123	86.710000	30230
296.540000	295.350000	0.005224	0.000060	0.510123	86.710000	30230
296.530000	295.330000	0.005224	0.000059	0.510123	86.710000	30230
296.520000	295.320000	0.005223	0.000059	0.510123	86.710000	30230
296.530000	295.320000	0.005223	0.000059	0.510123	86.710000	30230
296.520000	295.320000	0.005223	0.000059	0.510123	86.710000	30230
296.500000	295.300000	0.005223	0.000059	0.510123	86.710000	30230
296.510000	295.300000	0.005223	0.000059	0.510123	86.710000	30230
296.510000	295.270000	0.005223	0.000059	0.510123	86.710000	30230
296.510000	295.260000	0.005223	0.000059	0.510123	86.710000	30230
296.490000	295.260000	0.005223	0.000059	0.510123	86.710000	30230
296.490000	295.250000	0.005223	0.000060	0.510123	86.710000	30230
296.480000	295.230000	0.005223	0.000060	0.510123	86.710000	30230
296.470000	295.220000	0.005223	0.000060	0.510123	86.710000	30230
296.460000	295.210000	0.005223	0.000060	0.510123	86.710000	30230
296.450000	295.210000	0.005222	0.000060	0.510123	86.710000	30230
296.450000	295.190000	0.005222	0.000060	0.510123	86.710000	30230
296.440000	295.180000	0.005222	0.000060	0.510123	86.710000	30230
296.430000	295.170000	0.005222	0.000060	0.510123	86.710000	30230
296.440000	295.160000	0.005222	0.000061	0.510123	86.710000	30230
296.450000	295.150000	0.005222	0.000061	0.510123	86.710000	30230
296.420000	295.140000	0.005222	0.000061	0.510123	86.710000	30230
296.400000	295.130000	0.005222	0.000060	0.510123	86.710000	30230
296.400000	295.040000	0.005222	0.000060	0.510123	86.710000	30230
296.410000	295.110000	0.005222	0.000060	0.510123	86.710000	30230
296.390000	295.100000	0.005223	0.000060	0.510123	86.710000	30230
296.390000	295.090000	0.005223	0.000060	0.510123	86.710000	30230
296.390000	295.070000	0.005223	0.000060	0.510123	86.710000	30230
296.370000	295.060000	0.005223	0.000060	0.510123	86.710000	30230
296.370000	295.060000	0.005223	0.000060	0.510123	86.710000	30230
296.350000	295.030000	0.005223	0.000060	0.510123	86.710000	30230
296.360000	295.030000	0.005223	0.000061	0.510123	86.710000	30230
296.340000	295.020000	0.005223	0.000061	0.510123	86.710000	30230
296.340000	295.010000	0.005223	0.000061	0.510123	86.710000	30230
296.340000	294.990000	0.005223	0.000061	0.510123	86.710000	30230
296.340000	294.980000	0.005223	0.000061	0.510123	86.710000	30230
296.310000	294.990000	0.005223	0.000061	0.510123	86.710000	30230
296.310000	294.970000	0.005223	0.000061	0.510123	86.710000	30230
296.290000	294.950000	0.005223	0.000061	0.510123	86.710000	30230
296.290000	294.940000	0.005223	0.000060	0.510123	86.710000	30230
296.290000	294.940000	0.005223	0.000059	0.510123	86.710000	30230
296.280000	294.910000	0.005223	0.000059	0.510123	86.710000	30230
296.260000	294.910000	0.005223	0.000058	0.510123	86.710000	30230
296.260000	294.910000	0.005223	0.000058	0.510123	86.710000	30230
296.260000	294.890000	0.005223	0.000058	0.510123	86.710000	30230
296.240000	294.880000	0.005223	0.000057	0.510123	86.710000	30230
296.240000	294.870000	0.005223	0.000057	0.510123	86.710000	30230
296.230000	294.870000	0.005223	0.000057	0.510123	86.710000	30230
296.240000	294.860000	0.005223	0.000057	0.510123	86.710000	30230
296.230000	294.830000	0.005223	0.000057	0.510123	86.710000	30230
296.210000	294.830000	0.005223	0.000057	0.510123	86.710000	30230
296.220000	294.820000	0.005223	0.000057	0.510123	86.710000	30230
296.220000	294.810000	0.005223	0.000057	0.510123	86.710000	30230
296.200000	294.800000	0.005223	0.000057	0.510123	86.710000	30230
296.200000	294.790000	0.005223	0.000057	0.510123	86.710000	30230
296.180000	294.770000	0.005223	0.000058	0.510123	86.710000	30230
296.190000	294.750000	0.005224	0.000058	0.510123	86.710000	30230
296.170000	294.750000	0.005224	0.000058	0.510123	86.710000	30230
296.180000	294.750000	0.005224	0.000058	0.510123	86.710000	30230
296.160000	294.730000	0.005223	0.000059	0.510123	86.710000	30230
296.150000	294.720000	0.005223	0.000059	0.510123	86.710000	30230
296.140000	294.700000	0.005223	0.000060	0.510123	86.710000	30230
296.130000	294.710000	0.005223	0.000060	0.510123	86.710000	30230
296.140000	294.700000	0.005223	0.000060	0.510123	86.710000	30230
296.120000	294.670000	0.005224	0.000059	0.510123	86.710000	30230
296.110000	294.660000	0.005224	0.000059	0.510123	86.710000	30230
