Temp A (K)	Temp B (K)	current (A)	voltage (V)	R (ohm)
16.293000	15.360000	5.000000E-6	5.049606E-5	10.099213
16.315000	15.283000	5.000000E-6	5.000573E-5	10.001147
16.328000	15.238000	5.000000E-6	5.007883E-5	10.015766
16.343000	15.352000	5.000000E-6	4.996640E-5	9.993280
16.359000	15.762000	5.000000E-6	4.965733E-5	9.931465
16.392000	15.783000	5.000000E-6	4.960538E-5	9.921075
16.415000	15.597000	5.000000E-6	4.927943E-5	9.855886
16.436000	15.442000	5.000000E-6	4.942695E-5	9.885390
16.448000	15.446000	5.000000E-6	4.921901E-5	9.843802
16.467000	15.440000	5.000000E-6	4.919934E-5	9.839867
16.478000	15.636000	5.000000E-6	4.879751E-5	9.759502
16.500000	15.850000	5.000000E-6	4.889445E-5	9.778889
16.525000	15.860000	5.000000E-6	4.836899E-5	9.673797
16.555000	15.681000	5.000000E-6	4.832824E-5	9.665648
16.578000	15.631000	5.000000E-6	4.830296E-5	9.660593
16.597000	15.470000	5.000000E-6	4.845190E-5	9.690379
16.608000	15.517000	5.000000E-6	4.793904E-5	9.587808
16.619000	15.690000	5.000000E-6	4.808094E-5	9.616188
16.640000	16.049000	5.000000E-6	4.800509E-5	9.601019
16.672000	15.928000	5.000000E-6	4.792361E-5	9.584721
16.697000	15.741000	5.000000E-6	4.788145E-5	9.576289
16.715000	15.738000	5.000000E-6	4.755127E-5	9.510255
16.731000	15.649000	5.000000E-6	4.820599E-5	9.641199
16.742000	15.808000	5.000000E-6	4.775500E-5	9.551000
16.760000	16.037000	5.000000E-6	4.830015E-5	9.660030
16.782000	16.159000	5.000000E-6	4.839002E-5	9.678005
16.813000	15.958000	5.000000E-6	4.893939E-5	9.787878
16.837000	15.922000	5.000000E-6	4.938476E-5	9.876953
16.854000	15.855000	5.000000E-6	5.077148E-5	10.154296
16.869000	15.773000	5.000000E-6	4.792921E-5	9.585841
16.883000	15.898000	5.000000E-6	4.487903E-5	8.975807
16.899000	16.293000	5.000000E-6	4.448141E-5	8.896281
16.929000	16.204000	5.000000E-6	4.470197E-5	8.940395
16.957000	16.153000	5.000000E-6	4.460928E-5	8.921855
16.978000	16.029000	5.000000E-6	4.430298E-5	8.860596
16.995000	15.942000	5.000000E-6	4.432688E-5	8.865375
17.004000	15.914000	5.000000E-6	4.432968E-5	8.865935
17.019000	16.232000	5.000000E-6	4.408381E-5	8.816762
17.038000	16.427000	5.000000E-6	4.452216E-5	8.904432
17.065000	16.365000	5.000000E-6	4.440134E-5	8.880267
17.085000	16.122000	5.000000E-6	4.453621E-5	8.907241
17.105000	16.122000	5.000000E-6	4.437604E-5	8.875208
17.119000	16.086000	5.000000E-6	4.460224E-5	8.920447
17.135000	16.133000	5.000000E-6	4.410488E-5	8.820977
17.150000	16.531000	5.000000E-6	4.431984E-5	8.863969
17.179000	16.568000	5.000000E-6	4.422149E-5	8.844299
17.200000	16.298000	5.000000E-6	4.449267E-5	8.898534
17.224000	16.290000	5.000000E-6	4.440836E-5	8.881672
17.244000	16.278000	5.000000E-6	4.436059E-5	8.872119
17.263000	16.249000	5.000000E-6	4.431284E-5	8.862568
17.280000	16.274000	5.000000E-6	4.437464E-5	8.874928
17.294000	16.455000	5.000000E-6	4.433530E-5	8.867060
17.313000	16.623000	5.000000E-6	4.450810E-5	8.901620
17.341000	16.568000	5.000000E-6	4.449688E-5	8.899375
17.365000	16.511000	5.000000E-6	4.422572E-5	8.845143
17.387000	16.440000	5.000000E-6	4.444209E-5	8.888417
17.408000	16.358000	5.000000E-6	4.448564E-5	8.897128
17.421000	16.421000	5.000000E-6	4.462050E-5	8.924101
17.441000	16.850000	5.000000E-6	4.471743E-5	8.943486
17.467000	16.813000	5.000000E-6	4.405150E-5	8.810299
17.496000	16.637000	5.000000E-6	4.449826E-5	8.899651
17.518000	16.619000	5.000000E-6	4.428052E-5	8.856104
17.536000	16.553000	5.000000E-6	4.441536E-5	8.883072
17.552000	16.567000	5.000000E-6	4.466968E-5	8.933935
17.566000	16.749000	5.000000E-6	4.457696E-5	8.915392
17.587000	17.013000	5.000000E-6	4.433390E-5	8.866780
17.615000	16.856000	5.000000E-6	4.430155E-5	8.860311
17.639000	16.819000	5.000000E-6	4.422993E-5	8.845986
17.659000	16.742000	5.000000E-6	4.409924E-5	8.819848
17.676000	16.646000	5.000000E-6	4.460505E-5	8.921009
17.688000	16.704000	5.000000E-6	4.464859E-5	8.929717
17.706000	17.082000	5.000000E-6	4.440131E-5	8.880263
17.727000	17.095000	5.000000E-6	4.434795E-5	8.869590
17.756000	17.037000	5.000000E-6	4.440414E-5	8.880828
17.779000	16.895000	5.000000E-6	4.433528E-5	8.867056
17.798000	16.850000	5.000000E-6	4.441679E-5	8.883359
17.813000	16.826000	5.000000E-6	4.410767E-5	8.821534
17.830000	17.022000	5.000000E-6	4.465282E-5	8.930563
17.847000	17.284000	5.000000E-6	4.443785E-5	8.887571
17.871000	17.249000	5.000000E-6	4.430578E-5	8.861157
17.892000	17.089000	5.000000E-6	4.440274E-5	8.880549
17.913000	17.011000	5.000000E-6	4.444208E-5	8.888416
17.930000	16.987000	5.000000E-6	4.412314E-5	8.824628
17.949000	16.980000	5.000000E-6	4.439150E-5	8.878299
17.966000	17.358000	5.000000E-6	4.428892E-5	8.857785
17.993000	17.424000	5.000000E-6	4.410206E-5	8.820412
18.015000	17.291000	5.000000E-6	4.430015E-5	8.860031
18.040000	17.164000	5.000000E-6	4.434796E-5	8.869592
18.058000	17.149000	5.000000E-6	4.432965E-5	8.865930
18.073000	17.068000	5.000000E-6	4.411469E-5	8.822937
18.085000	17.261000	5.000000E-6	4.448420E-5	8.896841
18.101000	17.456000	5.000000E-6	4.434654E-5	8.869307
18.123000	17.374000	5.000000E-6	4.436901E-5	8.873801
18.150000	17.333000	5.000000E-6	4.442943E-5	8.885885
18.174000	17.293000	5.000000E-6	4.463735E-5	8.927470
18.193000	17.233000	5.000000E-6	4.434791E-5	8.869581
18.207000	17.220000	5.000000E-6	4.435070E-5	8.870141
18.220000	17.379000	5.000000E-6	4.447859E-5	8.895719
18.241000	17.576000	5.000000E-6	4.438304E-5	8.876609
18.270000	17.531000	5.000000E-6	4.454038E-5	8.908077
18.295000	17.470000	5.000000E-6	4.440132E-5	8.880264
18.316000	17.394000	5.000000E-6	4.414278E-5	8.828556
18.332000	17.304000	5.000000E-6	4.426082E-5	8.852165
18.345000	17.354000	5.000000E-6	4.423412E-5	8.846825
18.361000	17.706000	5.000000E-6	4.429734E-5	8.859467
18.383000	17.713000	5.000000E-6	4.428330E-5	8.856660
18.409000	17.657000	5.000000E-6	4.442942E-5	8.885884
18.432000	17.537000	5.000000E-6	4.443222E-5	8.886444
18.453000	17.467000	5.000000E-6	4.439989E-5	8.879977
18.469000	17.458000	5.000000E-6	4.422146E-5	8.844293
18.486000	17.835000	5.000000E-6	4.419477E-5	8.838955
18.505000	17.881000	5.000000E-6	4.441397E-5	8.882794
18.530000	17.753000	5.000000E-6	4.428611E-5	8.857222
18.555000	17.716000	5.000000E-6	4.396436E-5	8.792872
18.575000	17.651000	5.000000E-6	4.453056E-5	8.906111
18.596000	17.620000	5.000000E-6	4.440272E-5	8.880544
18.614000	17.607000	5.000000E-6	4.430156E-5	8.860312
18.630000	17.749000	5.000000E-6	4.432403E-5	8.864806
18.646000	18.019000	5.000000E-6	4.440974E-5	8.881949
18.671000	18.018000	5.000000E-6	4.464297E-5	8.928594
